,movies_names,movies_director,movies_year,movies_lat,movies_long,movies_imdb,movies_genre
217,Up the Sandbox,Irvin Kershner,1972,40.805169,-73.96920919,imdb.com/title/tt0069449,"c(Comedy, Drama)"
218,Uptown Girls,Boaz Yakin,2003,40.57402483,-73.97888124,imdb.com/title/tt0263757,"c(Comedy, Drama, Romance)"
219,Vanilla Sky,Cameron Crowe,2001,40.75787145,-73.98539901,imdb.com/title/tt0259711,"c(Fantasy, Mystery, Romance, Sci, Fi, Thriller)"
220,Wall Street,Oliver Stone,1987,40.70605086,-74.01056349,imdb.com/title/tt0094291,"c(Crime, Drama)"
221,Wall Street,Oliver Stone,1987,40.7114,-74.0086,imdb.com/title/tt0094291,"c(Crime, Drama)"
222,West Side Story,"Robert Wise,Jerome Robbins",1961,40.77621929,-73.98391843,imdb.com/title/tt0055614,"c(Crime, Drama, Musical, Romance)"
223,West Side Story,"Robert Wise,Jerome Robbins",1961,40.77651178,-73.98512006,imdb.com/title/tt0055614,"c(Crime, Drama, Musical, Romance)"
224,When Harry Met Sally,Rob Reiner,1989,40.722322,-73.987433,imdb.com/title/tt0098635,"c(Comedy, Drama, Romance)"
225,When Harry Met Sally,Rob Reiner,1989,40.73113694,-73.99718463,imdb.com/title/tt0098635,"c(Comedy, Drama, Romance)"
226,Wolfen,Michael Wadleigh,1981,40.71013359,-74.01267707,imdb.com/title/tt0083336,"c(Horror, Thriller)"
227,Wolfen,Michael Wadleigh,1981,40.70823052,-73.99117649,imdb.com/title/tt0083336,"c(Horror, Thriller)"
228,Wolfen,Michael Wadleigh,1981,40.83478796,-73.89212251,imdb.com/title/tt0083336,"c(Horror, Thriller)"
229,Working Girl,Mike Nichols,1988,40.68233035,-74.03574944,imdb.com/title/tt0096463,"c(Comedy, Drama, Romance)"
230,You're a Big Boy Now,Francis Ford Coppola,1966,40.57472566,-73.98032963,imdb.com/title/tt0061209,"c(Comedy, Drama, Romance)"
231,You're a Big Boy Now,Francis Ford Coppola,1966,40.75286513,-73.98153663,imdb.com/title/tt0061209,"c(Comedy, Drama, Romance)"
232,You've Got Mail,Nora Ephron,1998,40.77925782,-73.98153663,imdb.com/title/tt0128853,"c(Comedy, Drama, Romance)"
233,You've Got Mail,Nora Ephron,1998,40.79282387,-73.97741675,imdb.com/title/tt0128853,"c(Comedy, Drama, Romance)"
