,movies_names,movies_director,movies_year,movies_lat,movies_long,movies_imdb,movies_genre
50,Dog Day Afternoon,Sidney Lumet,1972,40.6572503,-73.97421956,imdb.com/title/tt0072890,"c(Biography, Crime, Drama, Thriller)"
51,Downtown 81 / New York Beat Movie,Edo Bertoglio,1981,40.74834612,-73.98488402,imdb.com/title/tt0208993,"c(Comedy, Drama, Musical)"
52,Downtown 81 / New York Beat Movie,Edo Bertoglio,1981,40.782972,-73.959376,imdb.com/title/tt0208993,"c(Comedy, Drama, Musical)"
53,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,40.7203,-73.9891,imdb.com/title/tt0338013,"c(Drama, Romance, Sci, Fi)"
54,Fame,Alan Parker,1980,40.757566,-73.983047,imdb.com/title/tt0080716,"c(Drama, Music, Musical)"
55,Fame,Alan Parker,1980,40.7704,-73.9876,imdb.com/title/tt0080716,"c(Drama, Music, Musical)"
56,Ferry Tales,Katja Esson,2003,40.64456836,-74.072721,imdb.com/title/tt0363607,"c(Documentary,Short)"
57,Force of Evil,Abraham Polonsky,1948,40.84936524,-73.94247293,imdb.com/title/tt0040366,"c(Crime, Drama, Film, Noir)"
58,Fort Apache the Bronx,Daniel Petrie,1981,40.81744688,-73.90884876,imdb.com/title/tt0082402,"c(Crime, Drama)"
59,Ghostbusters,Ivan Reitman,1984,40.76812671,-73.98195505,imdb.com/title/tt0087332,"c(Action, Comedy, Fantasy)"
60,Ghostbusters,Ivan Reitman,1984,40.7724,-73.9787,imdb.com/title/tt0087332,"c(Action, Comedy, Fantasy)"
61,Godspell,David Greene,1973,40.71226431,-74.01123941,imdb.com/title/tt0070121,Musical
62,Godspell,David Greene,1973,40.75931801,-73.98484647,imdb.com/title/tt0070121,Musical
63,Godspell,David Greene,1973,40.77230313,-73.98337662,imdb.com/title/tt0070121,Musical
64,Godspell,David Greene,1973,40.77335125,-73.98368776,imdb.com/title/tt0070121,Musical
65,Godspell,David Greene,1973,40.77436686,-73.97078633,imdb.com/title/tt0070121,Musical
66,Godspell,David Greene,1973,40.77646303,-73.97097945,imdb.com/title/tt0070121,Musical
67,Godspell,David Greene,1973,40.78457084,-73.92944813,imdb.com/title/tt0070121,Musical
68,Godspell,David Greene,1973,40.79230402,-73.97877395,imdb.com/title/tt0070121,Musical
69,Godzilla,Roland Emmerich,1988,40.75034558,-73.99149835,imdb.com/title/tt0120685,"c(Action, Sci, Fi, Thriller)"
70,Goodfellas,Martin Scorsese,1990,40.77148249,-73.91521633,imdb.com/title/tt0099685,"c(Crime, Drama)"
71,Green Card,Peter Weir,1990,40.78,-73.9769,imdb.com/title/tt0099699,"c(Comedy, Drama, Romance)"
72,Greetings,Brian De Palma,1968,40.702951,-74.012777,imdb.com/title/tt0063036,"c(Comedy, Drama)"
73,Hair,Milos Forman,1979,40.77179937,-73.97488475,imdb.com/title/tt0079261,"c(Comedy, Drama, Musical, Romance, War)"
74,Hannah and Her Sisters,Woody Allen,1986,40.7238,-74.0004,imdb.com/title/tt0091167,"c(Comedy, Drama)"
75,Hannah and Her Sisters,Woody Allen,1986,40.7946,-73.9737,imdb.com/title/tt0091167,"c(Comedy, Drama)"
76,Hannah and Her Sisters,Woody Allen,1986,40.796766,-73.969947,imdb.com/title/tt0091167,"c(Comedy, Drama)"
77,Heights,Chris Terrio,2005,40.71302062,-74.00337517,imdb.com/title/tt0382073,"c(Drama, Romance)"
78,Hitch,Andy Tennant,2005,40.7238,-74.0004,imdb.com/title/tt0386588,"c(Comedy, Romance)"
79,Hudson Hawk,Michael Lehmann,1991,40.70310659,-73.99318814,imdb.com/title/tt0102070,"c(Action, Adventure, Comedy)"
80,I Like It Like That,Darnell Martin,1994,40.83870044,-73.91373038,imdb.com/title/tt0110091,"c(Comedy, Drama, Romance)"
81,I Shot Andy Warhol,Mary Harron,1996,40.74053466,-73.99303257,imdb.com/title/tt0116594,"c(Biography, Drama)"
82,Inside Man,Spike Lee,2006,40.7064,-74.0095,imdb.com/title/tt0454848,"c(Crime, Drama, Mystery, Thriller)"
83,It Could Happen to You,Andrew Bergman,1994,40.7197,-74.0059,imdb.com/title/tt0110167,"c(Comedy, Drama, Romance)"
84,Jeremy,Arthur Barron,1973,40.77474873,-73.97250831,imdb.com/title/tt0070238,"c(Drama, Music, Romance)"
85,Jumpin' at the Boneyard,Jeff Stanzler,1992,40.83438208,-73.91993165,imdb.com/title/tt0102174,Drama
86,Jungle Fever,Spike Lee,1991,40.6019,-73.9938,imdb.com/title/tt0102175,"c(Drama, Romance)"
87,Jungle Fever,Spike Lee,1991,40.81803961,-73.94421637,imdb.com/title/tt0102175,"c(Drama, Romance)"
88,Kids,Larry Clark,1995,40.7310719,-73.99686277,imdb.com/title/tt0113540,Drama
89,Killer's Kiss,Stanley Kubrick,1957,40.70821425,-74.01365876,imdb.com/title/tt0048254,"c(Crime, Drama, Film, Noir, Thriller)"
90,King Kong,John Guillermin,1976,40.71254894,-74.01477993,imdb.com/title/tt0074751,"c(Adventure, Horror)"
91,Kissing Jessica Stein,Charles Herman-Wurmfeld,2001,40.7255,-73.984,imdb.com/title/tt0264761,"c(Comedy, Drama, Romance)"
92,Klute,Alan J. Pakula,1971,40.71126402,-74.01129305,imdb.com/title/tt0067309,"c(Crime, Mystery, Thriller)"
93,Klute,Alan J. Pakula,1971,40.76160968,-73.99031281,imdb.com/title/tt0067309,"c(Crime, Mystery, Thriller)"
94,Klute,Alan J. Pakula,1971,40.80091344,-73.93336952,imdb.com/title/tt0067309,"c(Crime, Mystery, Thriller)"
95,Kojak,"Abby Mann,(more)",1973,40.715847,-74.000547,imdb.com/title/tt0069599,"c(Action, Crime, Drama, Mystery, Thriller)"
96,Kojak,"Abby Mann,(more)",1973,40.77240875,-73.98376286,imdb.com/title/tt0069599,"c(Action, Crime, Drama, Mystery, Thriller)"
97,Kramer vs. Kramer,Robert Benton,1979,40.777554,-73.960694,imdb.com/title/tt0079417,Drama
98,Law & Order,"Dick Wolf,(more)",1988,40.7171,-74.0063,imdb.com/title/tt0098844,"c(Crime, Drama, Mystery, Thriller)"
99,Little Fugitive,"Morris Engel,Ruth Orkin,(more)",1953,40.57463602,-73.98080707,imdb.com/title/tt0046004,"c(Drama, Family)"
100,Little Manhattan,Mark Levin,2005,40.73360844,-74.00279582,imdb.com/title/tt0412922,"c(Comedy, Family, Romance)"
101,LUV,Clive Donner,1967,40.70507488,-73.98961008,imdb.com/title/tt0061927,"c(Comedy, Romance)"
102,Mad Hot Ballroom,Marilyn Agrelo,2005,40.83228774,-73.94633532,imdb.com/title/tt0438205,"c(Documentary, Family, Music)"
103,Malcolm X,Spike Lee,1992,40.810038,-73.95045,imdb.com/title/tt0104797,"c(Biography, Drama, History, Romance)"
104,Man Push Cart,Ramin Bahrani,2005,40.7552,-73.9733,imdb.com/title/tt0464105,Drama
105,Manhattan,Woody Allen,1979,40.76113835,-73.97720218,imdb.com/title/tt0079522,"c(Comedy, Drama, Romance)"
106,Marty,Delbert Mann,1955,40.839742,-73.880923,imdb.com/title/tt0048356,"c(Drama, Romance)"
107,McCloud,"Lou Antonio,Jack Arnold,(more)",1970,40.75728631,-74.00074124,imdb.com/title/tt0065317,"c(Action, Crime, Drama, Mystery, Thriller)"
108,Mean Streets,Martin Scorsese,1973,40.7185,-73.9988,imdb.com/title/tt0070379,"c(Crime, Drama, Thriller)"
109,Men in Black,Barry Sonnenfeld,1997,40.70435915,-74.01472628,imdb.com/title/tt0119654,"c(Adventure, Comedy, Mystery, Sci, Fi)"
110,Men in Black,Barry Sonnenfeld,1997,40.73164913,-73.99913192,imdb.com/title/tt0119654,"c(Adventure, Comedy, Mystery, Sci, Fi)"
111,Men in Black,Barry Sonnenfeld,1997,40.752412,-73.977979,imdb.com/title/tt0119654,"c(Adventure, Comedy, Mystery, Sci, Fi)"
112,Men in Black,Barry Sonnenfeld,1997,40.78257241,-73.95934939,imdb.com/title/tt0119654,"c(Adventure, Comedy, Mystery, Sci, Fi)"
113,Midnight Cowboy,John Schlesinger,1969,40.753767,-73.986866,imdb.com/title/tt0064665,Drama
114,Midnight Cowboy,John Schlesinger,1968,40.75819652,-73.98512006,imdb.com/title/tt0064665,Drama
115,Mirage,Edward Dmytryk,1965,40.7687,-73.9698,imdb.com/title/tt0059448,"c(Mystery, Thriller)"
116,Mo' Better Blues,Spike Lee,1990,40.70645752,-73.99727583,imdb.com/title/tt0100168,"c(Drama, Music, Romance)"
117,My Dinner with Andre,Louis Malle,1991,40.71860728,-73.98836017,imdb.com/title/tt0082783,"c(Biography, Comedy, Drama)"
118,New Jack City,Mario Van Peebles,1991,40.8127049,-73.96310449,imdb.com/title/tt0102526,"c(Action, Crime, Drama, Thriller)"
119,"Next Stop, Greenwich Village",Paul Mazursky,1975,40.72936455,-74.00103629,imdb.com/title/tt0074963,"c(Comedy, Drama)"
120,Nighthawks1981,Bruce Malmuth,1981,40.75835906,-73.95694613,imdb.com/title/tt0082817,"c(Action, Crime, Thriller)"
121,No Way to Treat a Lady,Jack Smight,1968,40.72268923,-73.98893952,imdb.com/title/tt0063356,"c(Comedy, Crime, Drama, Mystery, Thriller)"
122,No Way to Treat a Lady,Jack Smight,1968,40.75736758,-73.98670793,imdb.com/title/tt0063356,"c(Comedy, Crime, Drama, Mystery, Thriller)"
123,North by Northwest,Alfred Hitchcock,1959,40.75310896,-73.9769876,imdb.com/title/tt0053125,"c(Adventure, Mystery, Thriller)"
124,On the Town,"Stanley Donen,Gene Kelly",1949,40.71813564,-73.99790883,imdb.com/title/tt0041716,"c(Comedy, Musical, Romance)"
125,On the Waterfront,Elia Kazan,1954,40.74712691,-74.02497768,imdb.com/title/tt0047296,"c(Crime, Drama, Thriller)"
126,One Fine Day,Michael Hoffman,1996,40.7642,-73.981,imdb.com/title/tt0117247,"c(Comedy, Drama, Romance)"
127,One Fine Day,Michael Hoffman,1996,40.77426124,-73.97052348,imdb.com/title/tt0117247,"c(Comedy, Drama, Romance)"
128,Other People's Money,Norman Jewison,1991,40.71292303,-74.01314914,imdb.com/title/tt0102609,"c(Comedy, Drama, Romance)"
129,Pieces of April,Peter Hedges,2003,40.72057,-73.985953,imdb.com/title/tt0311648,"c(Comedy, Drama)"
130,Plaza Suite,Arthur Hiller,1971,40.757603,-73.978101,imdb.com/title/tt0067589,"c(Comedy, Drama, Romance)"
131,Prime,Ben Younger,2005,40.725367,-73.999702,imdb.com/title/tt0387514,"c(Comedy, Drama, Romance)"
132,Ragtime,Milos Forman,1981,40.72795799,-73.9806515,imdb.com/title/tt0082970,Drama
133,Report to the Commissioner,Milton Katselas,1975,40.761528,-73.983802,imdb.com/title/tt0073620,"c(Crime, Drama)"
134,Requiem for a Dream,Darren Aronofsky,2000,40.57223197,-73.98395598,imdb.com/title/tt0180093,Drama
135,Rosemary's Baby,Roman Polanski,1968,40.7661,-73.9717,imdb.com/title/tt0063522,"c(Drama, Horror)"
136,Rosemary's Baby,Roman Polanski,1968,40.77639,-73.976069,imdb.com/title/tt0063522,"c(Drama, Horror)"
137,Rosemary's Baby,Roman Polanski,1968,40.77656053,-73.97615075,imdb.com/title/tt0063522,"c(Drama, Horror)"
138,Saturday Night Fever,John Badham,1977,40.6228,-74.0284,imdb.com/title/tt0076666,"c(Drama, Music)"
139,Saturday Night Fever,John Badham,1977,40.6260702,-73.9970237,imdb.com/title/tt0076666,"c(Drama, Music)"
140,Searching for Bobby Fischer,Steven Zaillian,1993,40.7310719,-73.99928749,imdb.com/title/tt0108065,"c(Biography, Drama)"
141,Serpico,Sidney Lumet,1973,40.70757988,-73.96520197,imdb.com/title/tt0070666,"c(Biography, Crime, Drama, Thriller)"
142,Sesame Street,"Joan Ganz Cooney,(more)",1969,40.757599,-73.923671,imdb.com/title/tt0063951,"c(Animation, Comedy, Family, Fantasy, Music)"
143,Sex and the City,"Darren Star,(more)",1998,40.73580345,-74.00501668,imdb.com/title/tt0159206,"c(Comedy, Drama, Romance)"
144,Shadows,John Cassavetes,1959,40.7608458,-73.97647262,imdb.com/title/tt0053270,"c(Drama, Romance)"
145,Shaft,Gordon Parks,1971,40.756,-73.987,imdb.com/title/tt0067741,"c(Action, Crime, Thriller)"
146,Shaft2000,John Singleton,2000,40.714451,-74.002329,imdb.com/title/tt0162650,"c(Action, Crime, Thriller)"
147,She's the One,Edward Burns,1996,40.75974059,-73.98754478,imdb.com/title/tt0117628,"c(Comedy, Drama, Romance)"
148,Single White Female,Barbet Schroeder,1992,40.779956,-73.981881,imdb.com/title/tt0105414,"c(Drama, Thriller)"
149,Six Degrees of Separation,Fred Schepisi,1993,40.77150687,-73.9690429,imdb.com/title/tt0108149,"c(Comedy, Drama, Mystery)"
150,Six Degrees of Separation,Fred Schepisi,1993,40.77907909,-73.96261096,imdb.com/title/tt0108149,"c(Comedy, Drama, Mystery)"
151,Sleepers,Barry Levinson,1996,40.76461637,-73.99743676,imdb.com/title/tt0117665,"c(Crime, Drama, Thriller)"
152,Sleepers,Barry Levinson,1996,40.76474639,-73.99790883,imdb.com/title/tt0117665,"c(Crime, Drama, Thriller)"
153,Smithereens,Susan Seidelman,1982,40.71854,-73.98918,imdb.com/title/tt0084698,"c(Drama, Music)"
154,Smoke,Wayne Wang,1995,40.65725844,-73.97461116,imdb.com/title/tt0114478,"c(Comedy, Drama)"
155,Sophie's Choice,Alan J. Pakula,1982,40.647334,-73.966373,imdb.com/title/tt0084707,"c(Drama, Romance)"
156,Spider-Man,Sam Raimi,2002,40.7525888,-73.97975564,imdb.com/title/tt0145487,"c(Action, Adventure, Sci, Fi)"
157,Spider-Man,Sam Raimi,2002,40.75668492,-73.97855401,imdb.com/title/tt0145487,"c(Action, Adventure, Sci, Fi)"
158,Spider-Man,Sam Raimi,2002,40.74823233,-73.9139986,imdb.com/title/tt0145487,"c(Action, Adventure, Sci, Fi)"
159,Splash,Ron Howard,1984,40.70468448,-74.00207162,imdb.com/title/tt0088161,"c(Comedy, Fantasy, Romance)"
160,State of Grace,Phil Joanou,1990,40.76037446,-73.99125695,imdb.com/title/tt0100685,"c(Action, Crime, Drama, Romance, Thriller)"
161,Sugar Hill,Leon Ichaso,1994,40.82943024,-73.93964052,imdb.com/title/tt0107079,"c(Drama, Thriller)"
162,Summer of Sam,Spike Lee,1999,40.725034,-73.992067,imdb.com/title/tt0162677,"c(Crime, Drama, Romance, Thriller)"
163,Sweet Home Alabama,Andy Tennant,2002,40.76279612,-73.97387624,imdb.com/title/tt0256415,"c(Comedy, Romance)"
164,Sweet November,Robert Ellis Miller,1968,40.695,-73.9977,imdb.com/title/tt0063661,"c(Comedy, Drama, Romance)"
165,Sweet Smell of Success,Alexandre Mackenrick,1957,40.75779831,-73.97556603,imdb.com/title/tt0051036,"c(Drama, Film, Noir)"
166,Taxi Driver,Martin Scorsese,1976,40.732,-73.9882,imdb.com/title/tt0075314,"c(Crime, Drama)"
167,Taxi Driver,Martin Scorsese,1976,40.74335,-73.98405,imdb.com/title/tt0075314,"c(Crime, Drama)"
168,Taxi Driver,Martin Scorsese,1976,40.7865,-73.9722,imdb.com/title/tt0075314,"c(Crime, Drama)"
169,The Anderson Tapes,Sidney Lumet,1971,40.7847,-73.9581,imdb.com/title/tt0066767,"c(Action, Crime, Thriller)"
170,The April Fools,Stuart Rosenberg,1969,40.708972,-74.010518,imdb.com/title/tt0064036,"c(Comedy, Drama, Romance)"
171,The April Fools,Stuart Rosenberg,1969,40.77326188,-73.9711082,imdb.com/title/tt0064036,"c(Comedy, Drama, Romance)"
172,The Basketball Diaries ,Scott Kalvert,1995,40.729403,-73.845455,imdb.com/title/tt0112461,"c(Biography, Crime, Drama, Sport)"
173,The Bonfire of the Vanities,Brian De Palma,1990,40.77245,-73.9629,imdb.com/title/tt0099165,"c(Comedy, Drama, Romance)"
174,The Brother from Another Planet,John Sayles,1984,40.69736408,-74.04119968,imdb.com/title/tt0087004,"c(Comedy, Sci, Fi)"
175,The Brothers McMullen,Edward Burns,1995,40.7598,-73.9879,imdb.com/title/tt0112585,"c(Comedy, Drama, Romance)"
176,The Cotton Club,Francis Ford Coppola,1984,40.72597413,-73.9851898,imdb.com/title/tt0087089,"c(Crime, Drama, Music)"
177,The Cowboy Way,Gregg Champion,1994,40.70940164,-73.99183095,imdb.com/title/tt0109493,"c(Action, Comedy, Crime, Drama, Thriller, Western)"
178,The Devil's Advocate,Taylor Hackford,1997,40.71500487,-73.99886906,imdb.com/title/tt0118971,"c(Drama, Mystery, Thriller)"
179,The Fisher King,Terry Gilliam,1991,40.75270258,-73.97726655,imdb.com/title/tt0101889,"c(Comedy, Drama, Fantasy)"
180,The French Connection,William Friedkin,1971,40.58860227,-73.9837575,imdb.com/title/tt0067116,"c(Action, Crime, Drama, Thriller)"
181,The Godfather Part II,Francis Ford Coppola,1974,40.72539684,-73.98378432,imdb.com/title/tt0071562,"c(Crime, Drama)"
182,The Honeymooners,Frank Satenstein,1955,40.681501,-73.918753,imdb.com/title/tt0042114,"c(Comedy, Family)"
183,The Hours,Stephen Daldry,2002,40.74059157,-74.00546193,imdb.com/title/tt0274558,"c(Drama, Romance)"
184,The Interpreter,Sydney Pollack,2005,40.75067069,-73.96795392,imdb.com/title/tt0373926,"c(Crime, Mystery, Thriller)"
185,The Landlord,Hal Ashby,1970,40.67962098,-73.9760381,imdb.com/title/tt0065963,"c(Comedy, Drama, Romance)"
186,The Landlord,Hal Ashby,1970,40.679728,-73.975974,imdb.com/title/tt0065963,"c(Comedy, Drama, Romance)"
187,The Late Show with David Letterman,"Jerry Foley,Randi Grossack,(more)",1993,40.763719,-73.982833,imdb.com/title/tt0106053,"c(Comedy, Music, Talk, Show)"
188,The Lost Weekend,Billy Wilder,1945,40.759,-73.9685,imdb.com/title/tt0037884,"c(Drama, Film, Noir)"
189,The Naked City,Jules Dassin,1948,40.71132094,-73.96457434,imdb.com/title/tt0040636,"c(Crime, Drama, Film, Noir, Mystery, Thriller)"
190,The Night They Raided Minsky's ,William Friedkin,1968,40.739701,-73.978935,imdb.com/title/tt0063348,Comedy
191,The Out-of-Towners,Arthur Hiller,1970,40.78970474,-73.96065831,imdb.com/title/tt0066193,Comedy
192,The Panic in Needle Park,Jerry Schatzberg,1971,40.7788,-73.9821,imdb.com/title/tt0067549,Drama
193,The Pawnbroker,Sidney Lumet,1965,40.79935,-73.94325,imdb.com/title/tt0059575,Drama
194,The Pickle ,Paul Mazursky,1993,40.57488865,-73.96376431,imdb.com/title/tt0107824,"c(Comedy, Drama)"
