team,hits_allowed,hits_made
Hou,7.21,8.63
Tam,7.63,8.75
Atl,7.69,8.87
Mil,7.79,8.52
LA D,7.68,8.44
Oak,8.02,8.74
Bos,8.02,9.31
Chi C,8.05,8.96
Ari,8.10,7.92
NY Y,8.11,8.42
Was,8.20,8.6
Cle,8.31,8.9
StL,8.36,8.47
SF G,8.43,8.22
NY M,8.45,7.96
Col,8.47,8.73
Phi,8.5,7.9
LA A,8.52,8.19
Pit,8.65,8.58
Sea,8.69,8.68
Mia,8.72,8.1
Chi S,8.76,8.27
SanD,8.9,7.94
Det,8.91,8.21
Minn,8.95,8.48
Tor,9.23,8.24
Cin,9.31,8.67
Tex,9.56,8.08
Kan,9.68,8.32
Bal,9.85,8.16
